thread,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,45,78
 count,346894,113759,34277,12133,4804,2210,1189,600,403,246,176,135,90,69,52,44,39,30,21,21,27,15,13,12,9,11,13,8,6,3,4,3,4,3,45,2,7,3,2,1,1,3,2
